S#,SNAME,SEX,BDATE,HEIGHT,DORM
10051417,鹿华,男,2001-09-14,177.3,西5舍118
38406806,韦强,女,2001-01-08,163.8,西1舍620
65335523,徐秀梅,女,2001-11-09,186.0,东14舍214
33379839,王佳,男,2003-01-14,169.7,西7舍413
72708789,何淑珍,女,2004-01-06,189.9,东3舍804
80999431,王帅,男,2000-10-31,182.4,东14舍707
49304138,曹坤,女,2002-11-30,154.6,西18舍603
29509464,戴洁,女,2002-12-17,166.6,西9舍210
43498422,邹荣,女,2005-12-05,171.8,东11舍502
76790430,庄淑英,女,2000-09-24,168.5,东11舍206
56256650,王建军,女,2003-12-19,181.8,西11舍313
94255057,单霞,男,2004-07-12,171.1,东12舍310
16236915,沈勇,女,2006-09-08,151.6,西12舍511
74763956,尹明,男,2003-05-06,159.1,东13舍210
88630899,黄旭,男,2006-11-13,186.5,东2舍403
19143422,贾建华,男,2003-03-18,166.5,东2舍803
28723463,杨丽娟,男,2001-09-21,175.6,东9舍419
24377515,丁洁,女,2004-06-10,174.4,西4舍602
67388501,曹桂芝,女,2003-06-08,152.3,西14舍508
73349559,陈颖,男,2000-05-04,182.0,东10舍714
15863028,张成,男,2005-12-26,185.9,东7舍704
47317629,林玉兰,女,2003-11-03,167.9,东2舍308
30695217,朱亮,女,2003-03-17,158.9,西1舍405
50307751,孔艳,女,2001-09-02,174.6,东10舍615
71708320,廖建国,男,2005-12-28,181.3,西13舍408
52615952,裴秀珍,男,2005-08-24,174.6,东6舍202
87456971,张利,女,2001-02-14,159.3,东17舍209
46896494,严宇,女,2005-05-24,168.0,西12舍213
92831475,耿桂英,男,2005-08-12,167.9,东14舍410
89334043,张鑫,女,2005-05-11,158.6,西5舍203
60555451,郑磊,女,2006-03-02,169.8,东19舍204
53293242,胡柳,女,2003-10-29,175.5,东8舍203
88082160,廖强,男,2006-02-28,154.5,西1舍105
59932890,刘军,男,2001-04-21,169.9,东12舍715
13399637,陈楠,女,2000-02-26,183.8,西11舍607
64749255,霍平,男,2001-10-25,150.8,西11舍115
46965473,沈洋,女,2004-11-23,179.3,东9舍404
82445129,周桂香,男,2003-12-23,161.1,西12舍312
42291629,林明,男,2000-07-02,155.0,东3舍105
95250881,李霞,女,2006-05-25,179.2,西7舍606
19838407,张军,男,2003-03-27,165.0,西4舍511
94148595,宫雷,男,2002-08-01,155.2,西11舍105
76258671,张敏,女,2001-11-01,169.2,西12舍520
57841172,郭静,女,2005-08-14,181.7,西10舍402
35398802,张雷,女,2005-05-09,154.0,东20舍601
88481849,郭敏,女,2004-05-07,158.5,东16舍716
13275783,孟莉,男,2006-04-14,170.3,西19舍115
52372673,韩洋,男,2002-07-24,153.9,东8舍820
31906351,李玉梅,男,2006-11-17,172.0,东17舍405
90261439,龙博,男,2002-10-08,186.9,西12舍607
90038868,潘俊,男,2005-10-13,153.2,西12舍408
97246272,唐红,女,2001-02-24,168.1,西3舍609
55855596,周博,女,2002-06-05,178.5,西9舍210
22673259,盘涛,男,2003-01-01,163.7,东1舍511
13588356,沈佳,女,2004-07-04,161.5,东9舍603
32036373,周桂香,女,2001-07-14,165.3,东4舍411
98423663,马倩,男,2002-07-23,188.9,东6舍105
59710485,黄丽,女,2003-06-29,167.0,西9舍507
54851755,姜冬梅,女,2003-02-23,166.2,西3舍816
88208443,韦超,男,2005-03-21,154.6,东6舍614
96974015,张云,男,2000-01-11,158.8,东3舍701
11230852,顾明,男,2000-06-08,152.2,东4舍117
34899045,李利,女,2000-07-04,181.5,西9舍516
23370148,陈婷,女,2004-08-14,152.6,东7舍804
46260446,宋成,女,2005-12-05,160.3,西4舍602
70549142,孙桂芳,女,2001-07-11,179.6,西15舍802
46434439,罗玉珍,女,2006-11-11,189.5,西1舍304
57140404,徐文,男,2005-12-18,155.2,西20舍601
32452084,李娜,男,2005-08-02,164.8,西16舍302
82654521,徐淑英,男,2005-01-22,180.8,西12舍618
93560415,鞠建国,女,2004-06-11,159.6,东19舍809
37297498,毛秀梅,男,2001-07-25,157.1,东9舍803
30107773,舒秀荣,女,2003-01-26,189.5,西15舍513
17651800,黄宁,男,2006-06-20,181.7,东1舍217
63810762,冯海燕,女,2003-11-25,151.4,西6舍602
55869734,王峰,男,2004-07-30,153.2,西5舍120
11220417,江颖,女,2000-08-18,172.7,东1舍115
18297548,盛波,男,2003-02-05,176.7,东16舍308
83200270,刘丹丹,男,2001-03-17,181.2,西8舍820
89302365,李旭,女,2002-08-08,157.9,东20舍111
85215564,刘东,男,2006-09-10,184.7,西8舍705
40099073,农成,女,2004-10-07,174.3,西19舍705
21666922,吴建,男,2000-12-05,176.4,东12舍502
90563091,张玉珍,男,2002-03-03,176.3,东12舍120
10088940,刘桂珍,女,2004-12-20,180.0,西17舍811
20631941,杨畅,男,2002-03-16,160.5,西20舍713
97466730,蔡雷,女,2000-07-28,166.6,东9舍808
70930477,胡鹏,男,2004-02-26,184.9,西3舍112
35496417,李秀英,男,2004-04-05,187.7,东7舍205
22607891,曾桂花,男,2002-03-27,173.3,东12舍717
80742729,王淑珍,男,2004-06-03,177.3,西15舍202
86843322,申秀云,男,2000-11-10,157.5,东20舍804
71278298,杨雷,女,2004-01-22,157.1,东1舍409
19020391,雷冬梅,男,2002-02-05,155.6,东10舍610
29263155,姚英,男,2001-03-07,152.7,东4舍408
65404214,胡彬,男,2001-05-05,165.9,西2舍307
16447242,邢欢,女,2006-01-12,183.6,东16舍205
30813465,苏玉华,女,2003-03-26,181.2,东11舍812
47415181,张瑞,男,2002-02-07,170.9,西18舍807
59017243,许柳,男,2002-10-04,153.5,东9舍408
59162002,侯超,女,2005-07-22,186.9,东11舍319
51899219,薛敏,女,2004-02-29,172.1,东8舍812
24057168,李华,男,2000-05-16,188.0,东19舍608
87221117,郭淑珍,女,2005-10-03,170.8,西13舍415
44308279,傅淑华,男,2006-03-09,158.0,东2舍703
76067692,麦欣,男,2000-02-17,171.6,东15舍405
90114944,刘兵,女,2006-10-27,161.2,东9舍803
87541110,刘平,女,2005-09-30,167.7,西6舍410
85589141,王建军,女,2006-11-03,186.2,西6舍711
76356697,高萍,女,2000-10-14,184.2,西20舍318
35315980,张勇,男,2000-12-03,154.3,东14舍820
81355392,尹秀英,男,2002-09-25,187.1,东16舍701
38154566,赵雪,女,2006-10-18,174.9,西8舍612
97522134,吴静,男,2005-04-02,172.0,西20舍717
31360640,伍桂芝,男,2005-01-07,180.1,西17舍708
91928961,吴建国,女,2005-08-27,185.7,东10舍603
32048494,吴秀珍,男,2001-06-13,163.1,西9舍311
46193946,彭华,男,2006-01-26,185.4,东15舍119
39075988,王莉,女,2003-05-22,184.9,西18舍713
35657321,万鑫,男,2004-05-30,172.8,东20舍812
10288850,李洁,男,2006-06-26,168.0,西20舍404
23230779,李勇,男,2005-10-18,153.5,东7舍703
19533919,刘娜,男,2000-03-28,185.4,西5舍307
65437547,鲁柳,女,2004-12-12,171.3,东8舍613
92835525,鲍丽娟,女,2004-12-21,157.9,东14舍120
37178780,莫晨,女,2001-10-12,181.2,东2舍201
50000168,朱想,女,2001-09-06,181.7,东13舍506
77593860,蒋欢,男,2001-08-20,169.4,东13舍503
42507470,邢桂荣,女,2000-12-05,183.3,西19舍702
11140524,谢玉兰,女,2004-10-28,157.5,西1舍104
35267572,董玉,男,2006-05-30,166.4,西3舍311
72114120,凌冬梅,男,2002-09-23,162.8,东6舍204
10413715,龙帆,女,2002-02-24,187.2,西5舍818
41991072,张凯,女,2006-05-29,153.0,东2舍312
41425362,萧丽娟,男,2005-10-19,167.4,东7舍301
96505724,周志强,男,2002-03-03,183.0,西15舍620
61712639,沈兵,男,2004-02-06,161.0,东20舍305
29041252,陈婷,女,2001-08-21,159.8,东7舍708
39651354,林瑜,男,2006-10-02,171.8,西10舍407
47804715,王洁,男,2001-11-05,151.8,西4舍505
51565582,董兰英,女,2005-01-08,188.9,西9舍610
25583577,陈琳,女,2001-01-21,188.8,西2舍812
78264843,胡岩,男,2006-03-20,186.9,西18舍812
11087892,杨军,男,2002-10-25,157.1,西13舍814
12188173,鞠红霞,女,2002-07-03,172.4,西7舍411
47441834,王芳,女,2000-09-13,152.3,西2舍110
56265755,倪小红,女,2006-09-08,152.9,西10舍311
87704054,王勇,女,2001-12-29,160.7,西2舍302
41191561,刘红梅,女,2005-02-04,172.7,东6舍205
32877890,汪建,男,2000-01-25,153.6,西3舍613
36036683,张志强,女,2000-04-05,184.2,西18舍419
75606702,王雪梅,女,2001-01-08,161.1,东19舍207
29209552,颜博,男,2002-03-15,170.5,东4舍205
21062321,莫畅,男,2006-11-15,156.7,东4舍504
67567096,洪雷,男,2006-03-23,173.6,西19舍805
44135595,何桂珍,男,2000-04-27,180.6,西19舍114
58525378,王玉珍,男,2005-04-13,152.0,西12舍812
67841006,徐宇,男,2001-08-06,174.4,东12舍819
29621325,王桂英,女,2001-02-26,159.9,西3舍402
64509296,马春梅,女,2004-06-06,152.0,西13舍520
13970016,王婷婷,男,2002-07-16,167.5,东2舍404
33599296,孙明,男,2004-10-08,174.8,西9舍116
79615021,赵飞,男,2005-09-10,165.7,东1舍202
66500382,林桂芝,男,2002-11-29,152.5,西11舍208
22062476,钟桂兰,男,2004-07-13,167.8,东8舍510
85621071,程建国,女,2002-06-08,169.7,西2舍508
25716650,林鑫,女,2004-06-28,188.4,西13舍106
96431242,段敏,男,2005-12-20,179.7,东2舍411
17301283,陈凤英,男,2006-01-31,164.3,东12舍112
12670328,覃兵,女,2001-06-21,160.1,西11舍116
35754469,单小红,男,2004-06-05,186.1,东2舍211
25674829,纪萍,男,2000-09-09,187.4,东13舍612
30763004,胡红梅,男,2000-09-05,151.5,东18舍502
85641836,周波,男,2006-05-24,179.7,东9舍709
49575108,邵淑珍,女,2000-11-25,181.0,东19舍420
24929392,孙峰,女,2002-04-25,164.9,西18舍310
57194834,张旭,女,2002-06-27,186.8,东14舍201
52092733,张飞,男,2001-10-30,162.3,西11舍804
63480294,刘波,男,2005-03-12,163.9,西10舍101
16575475,邱欣,男,2001-12-25,153.9,东10舍511
76582309,张红霞,女,2003-01-26,178.8,西20舍604
40403511,何宇,男,2005-06-22,176.2,东19舍512
94231265,王梅,女,2000-09-10,161.7,西20舍110
18237593,匡平,男,2000-08-09,150.9,东14舍301
93964739,杨伟,女,2004-08-04,168.9,东16舍804
12421411,陈杨,女,2005-04-16,172.5,东13舍502
90894827,刘丽丽,女,2000-09-22,163.6,西6舍709
83878834,刘桂荣,女,2006-04-12,166.7,东13舍408
57676282,刘博,女,2000-07-08,163.0,西8舍818
80167890,陈斌,女,2001-08-09,151.0,西9舍617
80726008,周桂英,女,2001-05-08,186.4,西8舍204
52229298,何秀兰,女,2002-09-16,158.7,西12舍614
80587238,李瑞,女,2002-10-22,185.5,东16舍207
41456716,林鑫,男,2000-02-07,152.4,东2舍110
25608530,孟畅,男,2006-08-08,155.2,西11舍319
61972783,金秀珍,男,2000-03-25,183.8,东2舍410
13339207,王丹,男,2006-07-14,189.5,东18舍611
72069398,陈英,男,2004-02-11,182.1,西18舍714
25689983,李楠,女,2000-01-22,170.2,东20舍317
25543078,郎建军,男,2005-06-08,155.5,东8舍314
85730977,伍兰英,女,2004-09-18,159.0,东13舍312
51081712,叶凯,女,2006-05-17,182.4,东20舍207
43038228,章璐,女,2001-04-16,186.9,西1舍814
22573524,王佳,女,2004-06-25,178.6,东1舍610
90972222,李桂荣,女,2002-06-03,169.2,东11舍312
42551748,郭文,男,2004-06-08,157.1,东7舍420
41811818,阎金凤,男,2003-10-03,173.7,西15舍118
99024791,黄杨,女,2000-11-19,164.9,西1舍618
63054956,刘佳,女,2004-09-10,184.5,东19舍118
88628271,马雷,女,2001-04-29,162.8,西5舍215
84948896,黄波,男,2001-09-16,156.5,东3舍409
46770656,张斌,男,2005-08-12,173.5,东19舍506
32333035,金帅,女,2000-08-13,160.8,东16舍715
47754622,杨桂兰,女,2001-10-11,181.4,东17舍107
86480571,王丽娟,女,2005-07-06,166.9,西17舍104
73542422,黄艳,男,2001-02-24,189.8,东4舍603
20618222,张阳,男,2003-09-22,189.0,东20舍210
46731787,傅凤兰,男,2005-06-25,183.9,东4舍217
14445222,李秀兰,女,2002-02-02,178.3,东9舍817
98982217,李小红,女,2000-10-27,167.3,西18舍802
70779259,牛军,女,2002-01-23,173.5,东3舍620
85346632,朱敏,男,2006-07-29,178.5,东7舍607
14775386,杨岩,男,2006-04-22,183.7,东10舍514
72798510,彭丹,女,2001-06-16,164.6,东2舍610
77324881,王桂芳,女,2002-10-30,187.1,西10舍706
53533801,谢霞,男,2002-06-13,175.1,西1舍705
82071911,赵东,女,2003-08-14,151.9,东4舍817
42735233,马琴,男,2003-08-12,188.0,东14舍811
15649982,邵杰,男,2000-12-28,150.1,西2舍611
80687087,戴杨,女,2002-09-19,150.5,东1舍806
99290111,柳建华,女,2002-05-30,177.5,西2舍604
27900113,李斌,男,2000-03-11,187.3,西9舍805
37398925,何兰英,女,2006-03-28,160.7,东10舍507
45366849,柯凯,女,2004-07-09,180.7,东7舍603
42777589,林秀梅,女,2005-11-06,189.2,东1舍116
75122739,陈桂花,女,2003-03-07,161.8,西16舍501
56765208,张荣,男,2005-02-13,150.3,东2舍105
35970811,廖建国,女,2006-03-15,188.2,西8舍110
20522416,李斌,女,2001-01-04,168.2,西6舍407
53715851,何杰,女,2005-02-01,154.9,东19舍415
14744389,张东,男,2001-11-14,184.2,东12舍718
77251202,张雪,男,2000-12-06,168.3,西6舍412
16510035,李佳,女,2006-08-11,167.0,西15舍812
51772445,曹桂英,女,2006-08-29,165.4,东2舍301
11984995,王玉兰,男,2000-09-22,185.3,西10舍511
60174707,张丹,男,2000-05-13,180.4,东3舍112
28959049,陈桂珍,女,2001-06-14,151.4,西12舍604
61707449,林秀荣,女,2002-03-24,184.3,西6舍407
21061082,包勇,女,2004-11-04,154.6,西11舍719
66532256,廖建华,男,2006-02-04,185.4,东7舍819
82956540,陶涛,女,2001-04-11,178.6,东10舍203
19705155,王霞,男,2001-09-24,165.3,西2舍305
67810091,曹艳,男,2003-10-14,181.9,东18舍806
50516214,周明,女,2002-11-02,163.2,西17舍110
57697509,钟云,女,2001-03-23,154.4,西18舍212
42977486,张玉,男,2002-09-10,163.0,西5舍108
15771818,盘佳,男,2000-10-28,158.4,东8舍505
13952861,王桂芳,男,2002-10-01,179.9,西8舍603
10971626,宋建华,女,2006-04-26,173.5,西12舍307
31166124,张玉,女,2000-01-14,181.9,西5舍102
61604140,张峰,女,2000-10-08,176.3,东9舍320
13023214,骆淑珍,女,2001-08-05,158.3,西12舍309
32417380,杨玉华,男,2005-08-04,176.8,东4舍520
66380191,欧杨,男,2004-05-13,171.9,东2舍416
76784940,李冬梅,女,2006-07-08,154.2,东13舍715
32092250,郑玲,男,2002-06-15,165.0,东18舍207
42874165,邓强,女,2005-07-16,154.2,东6舍217
21992998,张雪梅,女,2002-05-13,161.3,东16舍301
83301637,范桂兰,男,2001-06-19,154.2,东20舍801
68950676,袁桂兰,男,2000-02-22,162.6,东17舍605
28889585,尚梅,女,2003-10-13,176.2,西20舍211
91476606,周玉,女,2000-11-10,178.8,西3舍504
27446785,袁洋,男,2001-10-08,160.7,西17舍406
59717163,董敏,男,2006-08-08,155.8,东6舍612
38196123,李淑华,男,2003-02-26,163.0,西18舍603
19693585,梁梅,男,2006-09-26,165.4,西18舍107
50287400,王兰英,女,2004-08-02,172.3,西12舍605
15723506,赖敏,女,2006-10-28,165.7,东6舍409
98149393,牟凯,男,2005-12-13,181.7,东18舍718
85410217,贾秀芳,男,2000-01-27,178.2,东5舍117
82559292,安峰,男,2006-02-12,162.1,东4舍709
19044525,袁凤英,女,2005-07-02,162.0,东16舍117
41121202,马峰,男,2001-02-15,170.5,西4舍601
14228004,谢秀珍,男,2002-08-29,161.4,西8舍119
47627464,张志强,男,2002-11-15,181.2,东18舍318
76040046,黄秀云,女,2001-08-25,183.3,西12舍104
48678588,金燕,男,2005-02-12,161.2,西11舍406
46111321,许想,女,2006-01-25,158.3,东18舍109
76994654,谢桂英,女,2004-07-26,173.0,西20舍305
14594204,王丹丹,男,2006-01-24,173.2,东1舍412
23452986,王瑞,女,2004-04-28,161.6,东19舍607
70827372,康娜,女,2003-02-06,163.6,西15舍309
39622628,萧畅,女,2003-01-27,171.6,西2舍401
39333088,李彬,女,2004-11-24,180.1,西13舍702
72677102,罗淑英,男,2000-08-16,189.9,西15舍614
18115234,王红梅,女,2004-03-20,176.7,西5舍107
35483990,冯鑫,女,2006-02-14,150.1,西3舍806
77504524,阎凯,女,2004-02-14,162.3,西20舍706
98699127,梁玉珍,女,2005-02-11,167.8,东6舍418
68843764,晁玉华,女,2002-08-04,155.4,东20舍718
42720384,杨阳,女,2003-04-29,157.3,东3舍704
70435229,葛建平,男,2005-01-31,157.8,东3舍815
93180197,白宁,女,2002-04-13,171.3,西7舍504
78786102,崔莹,男,2001-05-07,157.2,西1舍405
92744113,张成,女,2000-02-06,177.2,东12舍820
81028287,王雪梅,男,2003-07-12,176.1,东14舍120
67628372,段博,男,2000-05-30,152.4,西2舍707
58836726,董建华,男,2001-06-20,153.3,东10舍306
16729241,李雪梅,女,2003-06-11,158.0,西16舍806
13609162,张彬,女,2005-12-10,161.6,西6舍709
38891819,贾慧,男,2001-08-12,171.6,东8舍811
23524554,李浩,女,2003-11-16,160.0,西11舍511
96886988,周红,男,2006-04-02,151.9,东3舍501
94525298,梅桂荣,女,2004-04-10,159.8,东14舍820
74042916,邹畅,男,2000-10-18,151.2,西16舍811
49233880,廖璐,女,2002-06-07,188.0,西18舍117
90099185,宋利,男,2001-08-28,180.9,西18舍803
25098133,萧军,男,2004-07-07,185.8,西1舍106
61131454,吴华,女,2002-05-05,181.3,西3舍610
59699269,贾伟,女,2003-01-24,172.2,东2舍616
45774932,魏秀兰,女,2003-12-21,173.3,西9舍616
41182881,孟琴,女,2005-07-06,176.6,东3舍509
74497200,蔡娟,男,2003-05-06,188.6,东7舍311
91791165,刘琴,女,2003-09-03,183.3,东17舍503
43257518,姜峰,女,2004-01-16,181.1,东4舍313
22916596,华玲,女,2002-12-25,158.2,东15舍102
75027318,邢欣,女,2000-08-06,171.3,东18舍414
93435013,金佳,女,2000-12-18,186.3,东17舍111
45047572,李文,女,2001-03-06,170.7,东5舍604
78151289,董桂花,女,2001-02-02,182.5,西17舍402
75500227,李飞,女,2002-03-11,179.0,西19舍219
44225606,黄秀荣,男,2003-02-04,178.1,西14舍509
61932245,李想,男,2001-03-28,151.8,东8舍212
58702706,左欣,女,2000-09-03,173.0,西9舍501
62563787,谢华,男,2004-08-31,151.1,西15舍804
79458764,孙杨,女,2006-06-29,168.7,西12舍720
71700752,朱淑华,男,2002-04-02,178.3,东8舍405
34877536,谭鹏,男,2003-02-06,173.7,东14舍614
65644872,戴玉梅,女,2005-04-24,161.2,西17舍714
11125323,焦倩,女,2001-10-06,175.2,东18舍114
72131681,余建军,男,2003-07-20,180.1,东14舍819
44788980,骆秀英,女,2002-02-19,164.0,西3舍420
31329762,李桂英,男,2000-02-05,152.1,东5舍210
17927328,朱璐,男,2003-12-05,158.0,东18舍108
53013153,张娟,男,2000-06-22,173.5,西1舍304
66137965,王娟,男,2002-05-16,184.2,西20舍409
10989334,陈建军,男,2004-01-06,169.0,东14舍611
32805891,何建华,男,2005-09-21,159.4,西8舍612
62527364,尹亮,男,2002-11-16,166.1,西3舍520
92066044,李雪梅,女,2003-01-13,173.9,西16舍519
85713343,胡晨,女,2000-08-07,173.9,东15舍718
62378882,苏建,女,2004-12-09,158.0,西9舍514
89385251,姚红霞,男,2001-07-13,167.3,西15舍220
16334997,李海燕,女,2004-08-09,185.0,东12舍807
51796211,王慧,男,2002-02-17,156.5,西13舍403
80803477,张玉英,女,2000-11-24,161.7,西7舍713
70160921,朱凤英,女,2000-11-04,181.7,东7舍610
57288502,李杨,男,2002-07-19,171.0,东19舍817
39967827,段颖,女,2006-11-01,151.8,西19舍618
53143894,欧阳宁,男,2006-07-28,150.5,西8舍210
92348190,吴平,男,2003-03-18,184.4,东2舍420
30529651,黄斌,女,2004-08-27,154.0,东17舍502
60225327,王荣,女,2001-10-21,176.5,东19舍619
85082356,陈静,男,2001-09-27,177.2,东1舍604
52831993,徐楠,女,2001-11-25,186.3,东6舍712
30833547,郎建军,男,2002-09-18,182.8,西15舍101
18282129,熊丹丹,男,2006-09-09,161.1,西5舍709
75500131,戴辉,男,2002-11-01,155.3,西20舍116
70626673,刘莉,女,2004-09-28,152.7,西7舍503
81427353,吴刚,男,2004-01-05,161.2,东17舍504
16823133,陈秀英,女,2002-08-04,181.2,东18舍701
20102808,王彬,女,2005-10-14,171.5,东6舍710
48620869,杨楠,女,2004-03-17,184.2,东9舍820
68451874,单磊,男,2006-01-02,159.7,东5舍514
98834120,刘洋,男,2000-05-01,188.9,西7舍112
42868728,刁平,女,2003-06-12,182.1,西5舍515
67926099,张云,男,2003-02-05,171.3,东2舍205
55230108,刘婷,女,2003-04-13,163.3,西13舍608
47137241,邱英,男,2001-11-16,169.1,东16舍215
69603740,王秀云,女,2002-12-25,158.7,西13舍108
56482239,蒋凯,男,2005-05-20,186.4,西8舍705
73272859,崔畅,男,2004-03-06,153.9,东4舍712
23600277,秦鑫,女,2005-03-25,189.6,西5舍106
11182030,车平,男,2001-04-23,168.1,西11舍518
89458099,曲倩,女,2003-06-03,182.7,东5舍502
60796604,罗秀荣,女,2000-08-06,165.3,东1舍616
65519350,贾桂珍,女,2006-05-06,155.3,东15舍403
81975314,向桂兰,男,2000-05-13,150.3,西17舍719
54121344,刘芳,男,2003-02-21,158.3,西1舍613
27384873,蒋玲,女,2005-11-24,177.2,东13舍220
32881181,曾秀芳,女,2000-06-16,160.1,西6舍214
72218042,李秀云,女,2003-10-23,172.8,西17舍814
23780100,傅荣,男,2001-06-04,179.3,东20舍204
37542498,罗林,男,2005-12-21,159.7,东9舍412
45578753,赵淑华,男,2002-08-03,173.2,东14舍206
62526232,李玉兰,女,2003-11-25,152.4,西1舍609
16046001,朱丽丽,男,2000-02-14,168.7,东7舍812
68220462,陈旭,男,2001-04-16,186.2,西3舍307
64691038,周欣,女,2000-10-04,183.1,西18舍809
78509354,王旭,男,2002-01-26,176.3,西10舍815
14895546,张荣,女,2003-12-19,175.0,西4舍119
13942145,徐娜,男,2004-10-30,159.4,西5舍711
99724456,蒋建国,男,2006-09-27,155.4,东7舍306
97439443,石建平,男,2001-05-06,169.0,东14舍217
85699109,孙辉,女,2001-10-23,175.0,东17舍115
61514787,陈淑珍,女,2006-11-20,185.5,西20舍512
32557832,高敏,男,2005-01-09,164.5,西15舍408
95716049,曾春梅,女,2006-01-16,179.4,东18舍213
87154584,原建,男,2004-09-28,181.3,东19舍503
88901627,司兵,女,2004-11-19,176.6,西17舍316
86753240,祝秀兰,女,2005-10-29,189.0,西5舍210
52807895,张想,女,2006-06-07,152.8,东7舍705
20658643,张玉华,男,2000-06-29,173.4,东20舍613
26913822,杨洁,女,2006-11-26,165.1,东11舍120
55682630,李凯,男,2006-02-13,168.8,东11舍706
19096398,武桂芝,女,2002-07-09,150.5,东4舍207
42309755,张刚,男,2006-08-08,188.4,东19舍216
57396892,董志强,女,2002-07-14,187.9,西15舍816
59249302,陈建军,女,2006-01-04,165.9,西10舍817
64914462,梁晨,男,2005-05-26,157.5,东7舍417
81340324,皮婷婷,女,2006-10-24,155.4,东4舍208
66149621,徐秀兰,男,2005-12-16,152.7,西2舍302
79283753,李岩,男,2002-03-17,175.4,西3舍410
35653630,潘阳,女,2002-10-26,182.2,西19舍312
74247306,洪龙,女,2003-07-14,170.6,东8舍618
91908404,高欢,男,2002-01-09,171.2,西8舍106
84350971,黄龙,女,2001-04-28,180.7,西9舍801
12639895,王淑英,男,2005-11-11,164.3,西19舍120
39457593,余成,男,2002-10-22,161.6,东1舍602
88107762,邱玉华,男,2005-12-11,153.5,西12舍619
63520684,季旭,女,2001-11-08,162.9,西9舍419
69646770,董磊,男,2002-11-23,181.5,东1舍113
86048308,赵丹丹,男,2000-10-18,182.0,西20舍803
47354758,张畅,男,2005-10-15,156.3,东7舍712
88824474,张涛,男,2001-02-01,161.9,东6舍318
28954363,林兵,男,2002-06-24,158.5,东14舍305
94093573,郭志强,女,2005-08-26,155.7,东2舍515
64962680,李玉珍,女,2004-11-01,189.8,东15舍720
62699762,胡凤兰,男,2005-02-09,163.2,东11舍310
50603856,张桂兰,女,2006-11-08,168.2,东9舍507
80757657,周秀华,女,2003-01-01,156.7,东14舍816
28678456,田欣,男,2000-10-13,184.7,西16舍512
86214303,宋华,男,2000-05-01,177.5,东15舍110
46486664,冯杨,男,2004-05-15,165.5,东8舍306
43638862,刘建华,男,2004-08-04,187.8,西7舍720
52218932,张秀芳,女,2000-09-03,152.1,西13舍309
95903564,聂伟,女,2002-10-31,168.5,西10舍417
78244965,张梅,男,2006-05-22,158.1,东6舍812
51978808,吴玲,女,2000-06-21,170.6,西18舍219
37688310,魏芳,男,2000-01-22,166.2,西15舍311
93066079,张瑞,女,2004-12-31,166.2,东5舍518
58584055,黄桂荣,女,2006-11-26,175.6,东9舍617
96970592,何燕,男,2004-12-25,164.6,东5舍218
48842021,谢彬,男,2003-05-22,155.1,西1舍809
48434182,陆敏,男,2001-03-05,158.7,西19舍319
80837100,孙秀英,男,2000-12-10,189.1,西5舍805
18665782,郭平,女,2006-07-10,160.6,西3舍211
30722465,鞠洋,男,2004-01-27,166.8,东1舍608
72695491,徐倩,男,2003-07-08,184.0,东19舍120
77292969,刘阳,男,2006-02-17,164.5,西3舍616
68229944,赵金凤,男,2001-01-30,188.0,东20舍810
51995839,吴龙,男,2002-11-12,167.2,西20舍317
37842977,安荣,男,2002-03-23,155.8,西11舍614
88966768,孙颖,女,2006-01-13,159.0,西6舍415
